0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
62   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/shreejit/RA/solr-4.10.4/example/contexts at interval 0
78   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/shreejit/RA/solr-4.10.4/example/contexts/solr-jetty-context.xml
1619 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
2819 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
2820 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
2820 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
2820 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/rome-0.9.jar' to classloader
2820 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/tika-core-1.5.jar' to classloader
2820 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/icu4j-53.1.jar' to classloader
2821 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
2821 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/jdom-1.0.jar' to classloader
2821 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/xz-1.4.jar' to classloader
2821 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
2822 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
2822 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
2822 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
2822 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
2822 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
2823 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
2823 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
2823 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
2823 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
2825 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/dist/solr-cell-4.10.4.jar' to classloader
2840 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
2840 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
2840 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
2840 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
2841 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
