INFO  - 2016-02-15 01:30:58.676; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2016-02-15 01:30:58.676; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2016-02-15 01:30:58.676; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2016-02-15 01:30:58.676; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2016-02-15 01:30:58.677; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2016-02-15 01:30:58.677; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2016-02-15 01:30:58.677; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2016-02-15 01:30:58.677; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2016-02-15 01:30:58.677; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2016-02-15 01:30:58.678; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2016-02-15 01:30:58.678; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2016-02-15 01:30:58.678; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2016-02-15 01:30:58.678; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2016-02-15 01:30:58.679; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2016-02-15 01:30:58.679; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2016-02-15 01:30:58.679; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2016-02-15 01:30:58.679; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2016-02-15 01:30:58.679; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2016-02-15 01:30:58.680; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2016-02-15 01:30:58.680; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2016-02-15 01:30:58.680; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2016-02-15 01:30:58.680; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2016-02-15 01:30:58.682; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/dist/solr-cell-4.10.4.jar' to classloader
INFO  - 2016-02-15 01:30:58.697; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2016-02-15 01:30:58.697; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2016-02-15 01:30:58.697; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2016-02-15 01:30:58.697; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2016-02-15 01:30:58.698; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2016-02-15 01:30:58.698; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2016-02-15 01:30:58.698; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2016-02-15 01:30:58.698; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2016-02-15 01:30:58.699; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/dist/solr-clustering-4.10.4.jar' to classloader
INFO  - 2016-02-15 01:30:58.700; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2016-02-15 01:30:58.700; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2016-02-15 01:30:58.701; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/dist/solr-langid-4.10.4.jar' to classloader
INFO  - 2016-02-15 01:30:58.703; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2016-02-15 01:30:58.703; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2016-02-15 01:30:58.703; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2016-02-15 01:30:58.703; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2016-02-15 01:30:58.704; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/dist/solr-velocity-4.10.4.jar' to classloader
INFO  - 2016-02-15 01:30:59.585; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2016-02-15 01:30:59.592; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.4
INFO  - 2016-02-15 01:30:59.810; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2016-02-15 01:30:59.816; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /home/shreejit/RA/solr-4.10.4/example/solr/collection1/conf/schema.xml
INFO  - 2016-02-15 01:30:59.856; org.apache.solr.schema.IndexSchema; [collection1] Schema name=nutch
INFO  - 2016-02-15 01:30:59.972; org.apache.solr.schema.IndexSchema; default search field in schema is content
INFO  - 2016-02-15 01:30:59.973; org.apache.solr.schema.IndexSchema; query parser default operator is OR
INFO  - 2016-02-15 01:30:59.975; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2016-02-15 01:31:00.062; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /home/shreejit/RA/solr-4.10.4/example/solr/collection1/
INFO  - 2016-02-15 01:31:00.084; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2016-02-15 01:31:00.092; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/shreejit/RA/solr-4.10.4/example/solr/collection1/, dataDir=/home/shreejit/RA/solr-4.10.4/example/solr/collection1/data/
INFO  - 2016-02-15 01:31:00.093; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@1fe5e871
INFO  - 2016-02-15 01:31:00.115; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2016-02-15 01:31:00.115; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2016-02-15 01:31:00.137; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/shreejit/RA/solr-4.10.4/example/solr/collection1/data
INFO  - 2016-02-15 01:31:00.139; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/shreejit/RA/solr-4.10.4/example/solr/collection1/data/index/
INFO  - 2016-02-15 01:31:00.151; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/shreejit/RA/solr-4.10.4/example/solr/collection1/data/index
INFO  - 2016-02-15 01:31:00.178; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2016-02-15 01:31:00.178; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2016-02-15 01:31:00.179; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2016-02-15 01:31:00.182; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2016-02-15 01:31:00.183; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2016-02-15 01:31:00.270; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2016-02-15 01:31:00.276; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-02-15 01:31:00.277; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-02-15 01:31:00.278; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-02-15 01:31:00.279; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-02-15 01:31:00.284; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2016-02-15 01:31:00.285; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2016-02-15 01:31:00.287; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2016-02-15 01:31:00.288; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2016-02-15 01:31:00.289; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2016-02-15 01:31:00.291; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-02-15 01:31:00.291; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2016-02-15 01:31:00.291; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2016-02-15 01:31:00.292; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2016-02-15 01:31:00.292; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
